duration_ms,error_message,error_type,event,level,method,path,request_id,service,session_id,stacktrace_hash,status_code,timestamp
,,,unknown,INFO,,,,orders-service,,,,2025-12-29T11:29:16.544Z
,,,unknown,INFO,,,,orders-service,,,,2025-12-29T11:29:16.555Z
,,,unknown,INFO,,,,orders-service,,,,2025-12-29T11:29:17.098Z
,,,unknown,INFO,,,,orders-service,,,,2025-12-29T11:29:17.100Z
,,,unknown,INFO,,,,orders-service,,,,2025-12-29T11:29:33.077Z
,,,unknown,INFO,,,,orders-service,,,,2025-12-29T11:29:33.296Z
,,,unknown,INFO,,,,orders-service,,,,2025-12-29T11:30:44.245Z
,,,unknown,INFO,,,,orders-service,,,,2025-12-29T11:30:44.246Z
,,,unknown,INFO,,,,orders-service,,,,2025-12-29T11:30:44.353Z
,,,unknown,INFO,,,,orders-service,,,,2025-12-29T11:30:44.356Z
,,,unknown,INFO,,,,orders-service,,,,2025-12-29T11:30:44.358Z
,,,unknown,INFO,,,,orders-service,,,,2025-12-29T11:30:44.358Z
,,,unknown,INFO,,,,orders-service,,,,2025-12-29T11:30:44.463Z
,,,unknown,INFO,,,,orders-service,,,,2025-12-29T11:30:44.465Z
,,,unknown,INFO,,,,orders-service,,,,2025-12-29T11:31:30.487Z
,,,unknown,INFO,,,,orders-service,,,,2025-12-29T11:31:30.487Z
,,,unknown,INFO,,,,orders-service,,,,2025-12-29T11:31:30.593Z
,,,unknown,INFO,,,,orders-service,,,,2025-12-29T11:31:30.596Z
,,,unknown,INFO,,,,orders-service,,,,2025-12-29T11:31:30.598Z
,,,unknown,INFO,,,,orders-service,,,,2025-12-29T11:31:30.598Z
,,,unknown,INFO,,,,orders-service,,,,2025-12-29T11:31:30.704Z
,,,unknown,INFO,,,,orders-service,,,,2025-12-29T11:31:30.706Z
,,,unknown,INFO,,,,orders-service,,,,2025-12-29T11:32:37.251Z
,,,unknown,INFO,,,,orders-service,,,,2025-12-29T11:32:37.251Z
,,,unknown,INFO,,,,orders-service,,,,2025-12-29T11:32:37.358Z
,,,unknown,INFO,,,,orders-service,,,,2025-12-29T11:32:37.361Z
,,,unknown,INFO,,,,orders-service,,,,2025-12-29T11:32:37.363Z
,,,unknown,INFO,,,,orders-service,,,,2025-12-29T11:32:37.364Z
,,,unknown,INFO,,,,orders-service,,,,2025-12-29T11:32:37.475Z
,,,unknown,INFO,,,,orders-service,,,,2025-12-29T11:32:37.478Z
,,,unknown,INFO,,,,orders-service,,,,2025-12-29T12:47:58.599Z
,,,unknown,INFO,,,,orders-service,,,,2025-12-29T12:47:58.607Z
,,,unknown,INFO,,,,orders-service,,,,2025-12-29T13:51:06.447Z
,,,unknown,INFO,,,,orders-service,,,,2025-12-29T13:51:06.452Z
